borehole_id,name,x_coord_m,y_coord_m,elevation_m,depth_m
1,KE-HK1,1191494.989,605877.216,1.83,50.0
2,KE-HK2,1191606.808,605941.494,2.034,46.0
3,KE-HK3,1191735.67,606027.68,1.256,46.0
4,KE-HK4,1191862.312,606118.657,1.824,40.0
5,KE-HK5,1191991.551,606111.803,0.883,85.0
6,KE-HK6,1191971.117,606004.52,-0.16,40.0
7,KE-HK7,1191886.862,605868.54,-0.561,40.0
8,KE-HK8,1191979.459,605751.412,2.579,40.0
9,KE-HK9,1191863.956,605805.575,-2.25,70.0
10,KE-HK10,1191728.126,605742.279,-0.381,46.0
11,KE-HK11,1191580.576,605751.153,-0.22,46.0
12,KE-HK12,1192085.504,606075.287,-1.058,36.0
13,BXN-CV-HK1,1191602.053,606114.279,2.899,70.0
14,BXN-CV-HK11,1191678.381,606089.422,2.983,70.0
15,BXN-CV-HK13,1191645.843,606015.603,2.268,70.0
16,BXN-CV-HK14,1191629.624,605979.066,2.185,70.0
17,BXN-CV-HK15,1191683.77,606002.554,2.311,70.0
18,BXN-CV-HK16,1191770.009,606039.124,2.642,70.0
19,BXN-CV-HK17,1191633.615,605966.866,2.112,70.0
20,BXN-CV-HK2,1191585.87,606077.724,2.551,70.0
21,BXN-CV-HK3,1191569.698,606041.174,2.398,70.0
22,BXN-CV-HK4,1191553.467,606004.58,2.282,70.0
23,BXN-CV-HK5,1191537.283,605968.022,2.193,70.0
24,BXN-CV-HK6,1191573.853,605951.807,2.183,70.0
25,BXN-CV-HK7,1191590.044,605988.342,2.243,70.0
26,BXN-CV-HK8,1191606.26,606024.982,2.258,70.0
27,BXN-CV-HK9,1191622.441,606061.542,3.058,70.0
28,BXN-CV-HK10,1191638.68,606098.186,3.07,70.0
29,BXN-CV-HK12,1191662.015,606052.169,2.708,70.0
32,NHC-BH-03,1191418.751,605614.653,1.07,100.0
33,NHC-BH-05,1191433.134,605547.095,1.39,100.0
35,NHC-BH-30,1191731.987,605633.15,2.12,100.0
37,NHC-BH-33,1191761.315,605646.602,2.08,100.0
42,NHC-BH-20,1191607.482,605547.002,1.8,100.0
43,NHC-BH-25,1191720.772,605564.919,1.55,100.0
44,NHC-BH-32,1191774.814,605619.784,2.07,100.0
45,NHC-BH-35,1191804.992,605636.461,2.97,100.0
46,NHC-BH-38,1191833.798,605655.33,1.57,100.0
48,NHC-BH-26,1191711.284,605593.388,2.45,100.0
49,NHC-BH-27,1191701.826,605621.838,2.15,100.0
50,NHC-BH-28,1191692.427,605650.328,2.52,100.0
51,NHC-BH-29,1191743.609,605605.376,1.87,100.0
52,NHC-BH-34,1191747.761,605673.231,2.1,100.0
53,NHC-BH-36,1191789.373,605662.216,1.78,100.0
54,NHC-BH-37,1191851.161,605630.856,1.34,100.0
55,ND-02,1191680.407,605239.025,1.7,31.0
56,ND-03,1191670.883,605340.447,1.89,36.0
57,ND-05,1191736.974,605445.999,3.2,36.0
58,ND-06,1191761.037,605349.439,4.24,36.0
59,ND-07,1191785.152,605252.887,3.47,36.0
