borehole_id,borehole_name,symbol,description,depth_top_m,depth_bot_m,thickness_m
13,BXN-CV-HK1,1,Đất san lấp,0.0,2.7,2.7
13,BXN-CV-HK1,2,"Sét chảy rất dẻo màu xám xanh, trạng thái chảy",2.7,20.3,17.6
13,BXN-CV-HK1,3b,"Cát lẫn sét, bụi màu xám xanh, kết cấu xốp xen kẹp chặt vừa",20.3,25.0,4.7
13,BXN-CV-HK1,5,"Cát chặt lẫn vừa sét bụi, màu xám xanh",25.0,39.5,14.5
13,BXN-CV-HK1,5,"Cát chặt lẫn vừa sét bụi, màu xám xanh",39.5,43.0,3.5
13,BXN-CV-HK1,6,"Sét cứng ít – dẻo cứng màu nâu vàng, trạng thái nửa cứng",43.0,51.0,8.0
13,BXN-CV-HK1,6,"Sét cứng ít – dẻo cứng màu nâu vàng, trạng thái nửa cứng",51.0,60.3,9.3
13,BXN-CV-HK1,8,"Cát lẫn bụi màu xám nâu, kết cấu chặt",60.3,70.0,9.7
20,BXN-CV-HK2,1,Đất san lấp,0.0,2.5,2.5
20,BXN-CV-HK2,2,"Sét chảy rất dẻo màu xám xanh, trạng thái chảy",2.5,19.5,17.0
20,BXN-CV-HK2,3b,"Cát lẫn sét, bụi màu xám xanh, kết cấu xốp xen kẹp chặt vừa",19.5,27.5,8.0
20,BXN-CV-HK2,5,"Cát chặt lẫn vừa sét bụi, màu xám xanh",27.5,35.5,8.0
20,BXN-CV-HK2,5,"Cát chặt lẫn vừa sét bụi, màu xám xanh",35.5,43.0,7.5
20,BXN-CV-HK2,6,Sét cứng ít – dẻo cứng màu nâu vàng,43.0,55.0,12.0
20,BXN-CV-HK2,6,Sét cứng ít – dẻo cứng màu nâu vàng,55.0,59.0,4.0
20,BXN-CV-HK2,7,"Cát lẫn sét, màu nâu vàng, kết cấu chặt",59.0,67.0,8.0
20,BXN-CV-HK2,8,"Cát lẫn bụi màu xám nâu, kết cấu chặt",67.0,70.0,3.0
21,BXN-CV-HK3,1,Đất san lấp,0.0,2.0,2.0
21,BXN-CV-HK3,2,"Sét chảy rất dẻo màu xám xanh, trạng thái chảy",2.0,21.0,19.0
21,BXN-CV-HK3,3b,"Cát lẫn sét, bụi màu xám xanh, kết cấu xốp xen kẹp chặt vừa",21.0,27.2,6.2
21,BXN-CV-HK3,4,"Sét rất dẻo màu xám xanh, trạng thái dẻo mềm – dẻo cứng",27.2,31.0,3.8
21,BXN-CV-HK3,5,"Cát chặt lẫn vừa sét bụi, màu xám xanh",31.0,42.5,11.5
21,BXN-CV-HK3,6,Sét cứng ít – dẻo cứng màu nâu vàng,42.5,47.0,4.5
21,BXN-CV-HK3,TK6a,"Cát lẫn bụi, màu xám nâu (thấu kính 6a)",46.5,48.9,2.4
21,BXN-CV-HK3,7,"Cát lẫn sét, màu nâu vàng, kết cấu chặt",48.9,59.0,10.1
21,BXN-CV-HK3,8,"Cát lẫn bụi màu xám nâu, kết cấu chặt",59.0,70.0,11.0
